1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
,,,,,1,,,1,,,1,,,1,,,10051
,,,,,,1,,,,,1,,,1,,,10052
,1,,,,,,1,,,,1,1,,,,,10053
,,,,,,,,,,,1,1,,,,,10054
,1,,,,1,,,,,,,,,1,,,10055
,,,,,,,,1,,,1,1,,,,,10056
,,,,,1,1,,,,1,1,,,,,,10057
,,1,,,,,,,,1,1,1,,1,,,10058
,,1,,,,,,,,1,1,1,,1,,,10059
,,1,,,1,,,1,,1,1,,,1,,,10060
,,,,,,,1,,,1,1,1,,1,,,10061
,,,,,,,1,,,1,1,1,,1,,,10062
,,,,,1,,1,,,1,,,,1,,,10063
,,,,,1,,1,1,,1,1,,,1,,,10064
,,1,,,1,,,,,1,1,,,1,,,10065
,,,,,,,1,1,,1,1,,,1,,,10066
,1,1,,,,,1,1,,1,1,,,1,,,10067
,,1,,,,,,,,1,1,,,1,,,10068
,,1,,,,,1,1,,1,1,1,,1,,,10069
,,,,,,1,1,,,1,1,,,,,,10070
,,,,,1,,1,,,1,1,,,1,,,10071
,,,,,,,1,1,,1,1,,,,,,10072
,,,,,,1,,,,1,,,,,,,10073
,,1,,,,,1,,,1,1,,,1,,,10074
,,,,,1,1,,,,,1,1,,1,,,10075
,,,,,1,,1,1,,,1,,,1,,,10076
,,,,,,1,1,,,,1,1,,1,,,10077
,,,,,,,,,,,1,1,,1,,,10078
,,,,,1,,,,,,1,,,,,,10079
,,1,,,1,,,,,,,,,,,,10080
,,,,,,,1,,,,1,,,1,,,10081
,,1,,,1,,1,,,,1,,,1,,,10082
,,,,,1,,1,1,,,1,,,,,,10083
,,,,,1,,,,,,,,,1,,,10084
,1,,,,1,,1,,,,1,,,1,,,10085
,,,,,1,,,1,,,,,,,,,10086
,,,,,1,,,,,,1,,,,,,10087
,,,,,1,,,,,1,1,1,,1,,,10088
,,,,,,1,,1,,1,1,1,,1,,,10089
,,,,,1,,,,,,1,,,,,,10090
,,,,,,,1,1,,,1,,,1,,,10091
,,,,,1,1,,,,,1,1,,1,,,10092
,,,,,1,1,,,,,1,,,1,,,10093
,,,,,1,,1,,,,1,,,1,,,10094
,,,,,1,,,1,,,1,,,,,,10095
,,,,,1,,1,,,,1,,,1,,,10096
,,,,,1,,1,,,1,1,,,1,,,10097
,,,,,,,,,,,,,,,,,10098
,,,,,1,1,1,1,,,1,,,1,,,10099
,,,,,,,1,,,,1,1,,1,,,10100
,,,,,,,1,1,,1,,,,,,,10101
,,,,,,,,,,,,,,1,,,10102
,,,,,1,1,1,,,,1,1,,1,,,10103
,,,,,1,1,1,1,,,1,,,,,,10104
,,,,,1,,,,,,1,,,1,,,10105
,,,,,1,,1,,,,,,,1,,,10106
,,,,,,,1,1,,,1,,,1,,,10107
,,,,,,1,1,1,,,1,,,,,,10108
,,,,,,,,1,,,1,1,,,,,10109
,,,,,,1,,1,,,1,,,,,,10110
,,,,,,,1,,,,1,,,1,,,10111
,,,,,,,,1,,,1,,,,,,10112
,1,,,,1,1,,,,,1,1,1,1,,,10113
,,,,,1,,,1,,,1,,,,,,10114
,,,,,,1,1,1,,,1,1,,1,,,10115
,,,,,1,,,,,,1,1,,1,,,10116
,1,,,,1,,,,,,1,,,1,,,10117
,,,,,,,,,,,1,,,,,,10118
,,,,,1,,,,,,1,,,1,,,10119
,,,,,1,,,,,,1,,,1,,,10120
,,,,,,1,1,1,,,,,,1,,,10121
,,,,,1,1,1,1,,,1,1,,1,,,10122
,,,,,1,1,,,,,1,,,,,,10123
,,1,,,1,,1,1,,,1,1,,1,,,10124
,,,,,1,,,1,,,,1,1,1,,,10125
,,,,,1,,,,,,1,,,,,,10126
,,1,,,,,,1,,,1,1,,1,,,10127
,,1,,,1,1,1,1,,,1,,,1,,,10128
,,,,,1,,,1,,,1,,,,,,10129
,,,,,,1,,1,,,1,,,1,,,10130
,,,,,,,,,,,1,,,1,,,10131
,,,,,,,,,,,1,1,,1,,,10132
,,,,,1,,,1,,,1,,,,,,10133
,,,,,,,1,,,,1,1,,1,,,10134
,1,,,,1,,,,,,1,,,1,,,10135
,,,,,,,1,1,,,1,1,,1,,,10136
,,,,,,,,,,,1,,,1,,,10137
,,,,,,,,,,,1,1,,1,,,10138
,1,,,,1,,,1,,,1,,,1,,,10139
,,,,,,,1,,,,1,,,,,,10140
,,,,,,,,,,1,,,,,,,10141
,,,,,,1,,1,,,1,,,1,,,10142
,,,,,,1,1,,,1,1,1,,1,,,10143
,,,,,1,,,,,,1,,,1,,,10144
,,,,,1,,1,,,,1,,,1,,,10145
,,,,,1,,1,,,1,1,,,1,,,10146
,1,,,,1,,,,,,1,1,,1,,,10147
,,,,,,,,1,,,1,,,1,,,10148
,,,,,1,,,,,,1,1,,1,,,10149
,1,,,,1,,,1,,,1,,,1,,,10150
,,,,,,1,,,,,,,,,,,10151
,,,,,1,,1,1,,,1,,,1,,,10152
,,,,,1,,,,,1,1,1,,1,,,10153
,,,,,,1,,1,,,1,1,,1,,,10154
,,,,,,,1,,,,1,,,1,,,10155
,,,,,1,,,,,,1,,,,,,10156
,1,1,,,1,1,1,1,,,1,,,1,,,10157
,,,,,,,,1,,,1,,,,,,10158
,,,,,,,,,,,,,,,,,10159
,,,,,,1,,,,1,1,1,,1,,,10160
,,,,,,1,1,,,1,1,1,,1,,,10161
,,,,,,,1,,,1,1,,,,,,10162
,,,1,,1,,,,,,,,,1,,,10163
,1,,,,1,,,,,,1,1,,1,,,10164
,,1,,,1,,,,,,1,,,1,,,10165
,,,,,1,,,,,,1,,,,,,10166
,,1,,,1,,,,,,1,,,1,,,10167
,,1,,,1,,,1,,,1,,,1,,,10168
,,,,,,,,1,,,1,,,1,,,10169
,,,,,1,,1,,,,1,,,1,,,10170
,,,,,,1,,,,1,,,,1,,,10171
,,,,,1,,1,,,,1,,,1,,,10172
,,1,,,,,1,,,,1,,,,,,10173
,,,,,,,,,,,,,,1,,,10174
,,,,,,,,,,,1,1,1,1,,,10175
,,,,,1,1,,,,,1,,,1,,,10176
,,,,,,,1,,,,1,1,,1,,,10177
,,,,,1,,,,,,1,,,,,,10178
,,1,,,,,,,,,1,,,,,,10179
,,1,,,,,,,,,1,,,1,,,10180
,1,,,,,,,1,,,1,,,,,,10181
,,,,,1,,,1,,,1,,,1,,,10182
,,,1,,1,1,,1,,,1,,,,,,10183
,,1,,,,,1,,,,1,,,1,,,10184
,,,,,1,,,,,,1,,,1,,,10185
,,,,,1,1,1,1,,,1,,,1,,,10186
,,,,,,1,1,,,,1,1,,1,,,10187
,,,,,,1,1,1,,,1,,,1,,,10188
,,,,,,1,1,1,,,1,,,1,,,10189
,1,,,,1,,,1,,,1,,1,1,,,10190
,,,,,,,,,,1,,,,,,,10191
,,,,,,1,1,,,,,,,,,,10192
,,,,,,,,1,,,1,,,1,,,10193
,,,,,,,1,,,,1,,,1,,,10194
,,1,,,1,1,,,,,,1,,1,,,10195
,,,,,1,1,,,,,1,1,,1,,,10196
,,,,,1,1,,,,1,1,,,1,,,10197
,,,,,,,1,,,,1,,,1,,,10198
,,1,,,,,1,,,,1,,,1,,,10199
,,,1,,,1,,,,,1,1,,1,,,10200
,,,,,,,,1,,1,1,,,1,,,10201
,1,,,,1,,1,1,,1,1,,,1,,,10202
,,1,,,,,,,,,1,,,1,,,10203
,,,,,,1,,1,,,1,,,1,,,10204
,,,,,,,,1,,,1,,,,,,10205
,,1,1,,,,1,,,,1,,,1,,,10206
,,,,,,1,,1,,,,,,,,,10207
,,1,,,,1,1,1,,1,1,,,1,,,10208
,,,,,,,1,,,,1,,,1,,,10209
,,,,,1,,,1,,,,,,,,,10210
,,,,,1,,,1,,,1,1,,1,,,10211
,,,,,1,,,,,1,1,,,1,,,10212
,,,,,1,1,1,1,,,,,,,,,10213
,,,,,1,1,,1,,,1,1,,1,,,10214
,,,,,,1,,,,,1,1,,1,,,10215
,,,,,,,1,1,,,1,,,1,,,10216
,,,,,,,,1,,,1,,,1,,,10217
,,,,,1,,,,,1,,,,,,,10218
,,,,,,,,1,,,1,,,1,,,10219
,,,,,,,1,,,,1,,,1,,,10220
,,,,,1,1,,1,,,1,,,,,,10221
,,,,,,,,,,,1,,,1,,,10222
,,1,,,,,,,,,1,,,1,,,10223
,,,,,,,,,,,1,,,1,,,10224
,,,,,,1,,1,,,1,1,,1,,,10225
,,,,,1,,1,,,,1,,,1,,,10226
,,,,,,1,1,,,,1,,,1,,,10227
,1,,,,1,,1,,,,1,1,,1,,,10228
,,,,,,1,,1,,,1,1,,1,,,10229
,,,,,,,1,1,,,1,1,,1,,,10230
,,,,,,1,,,,,1,,,1,,,10231
,,,,,1,,,1,,,1,1,,1,,,10232
,,,,,,,,,,,1,1,,1,,,10233
,1,,,,1,1,,,,,1,1,,1,,,10234
,,,,,,,,1,,,1,,,,,,10235
,,,,,,,1,,,,1,,,1,,,10236
,,1,,,,,,,,1,,,,,,,10237
,,,,,,,,1,,,1,1,,1,,,10238
,,1,,,,,,,,,1,,,1,,,10239
,,,1,,1,1,1,,,,1,,,1,,,10240
,,1,,1,,,1,,1,1,,,,1,,,10241
,,,,,,1,,1,,1,1,1,,1,,,10242
,,,,,,,,,,,,,,1,,,10243
,,,,,,,1,1,,,1,,,1,,,10244
,,,,,1,1,,1,,,1,,,1,,,10245
,,,,,1,1,,1,,,1,1,,1,,,10246
,,,,,,1,,,,,1,1,,1,,,10247
,,,,,,,1,,,,1,,,1,,,10248
,,,,,,1,,,,,1,1,,1,,,10249
,1,,,,1,,1,1,,,1,,,,,,10250
,,,,,1,,1,1,,,1,,,,,,10251
,,,,,,1,,,,,1,,,1,,,10252
,,,,,,,,,,,1,,,1,,,10253
,1,,,,,,1,1,,,1,1,,1,,,10254
,,,,,,1,1,,,1,1,,,1,,,10255
,,,,,,,,,,,1,,,,,,10256
,,,,,,,1,1,,,1,,,1,,,10257
,,,,,,1,,1,,,1,1,,1,,,10258
,,,,,,1,1,,,,1,,,1,,,10259
,,,,,1,,1,,,,1,,,1,,,10260
,,,,,,1,,1,,,1,,,1,,,10261
,,,,,1,,,,,,,,,1,,,10262
,,,,,1,1,,1,,,1,1,,1,,,10263
,,,,,1,,,1,,,1,,,1,,,10264
,,,1,,,,1,1,,,1,,,1,,,10265
,,,,,,,,,,,1,,,1,,,10266
,,,,,1,,1,,,,,,,,,,10267
,1,,,,,,,1,,,1,1,,1,,,10268
,,,,,,,1,,,,1,,,1,,,10269
,,,,,,,1,,,,1,,,1,,,10270
,,,,,,,1,,,,1,,,1,,,10271
,,,,,,,,1,,,1,,,1,,,10272
,,,,,,,,,,,1,,,,,,10273
,,,,,1,1,1,,,1,1,1,,1,,,10274
,,,,,,1,,,,,1,1,,1,,,10275
,,,,,,,,,,1,1,,,1,,,10276
,,,,,1,1,1,1,,,1,1,,1,,,10277
,,,,,,,1,1,,,1,1,,1,,,10278
,,,,,,,,1,,,1,,,,,,10279
,1,,,,,,1,,,,1,,,1,,,10280
,,,,,1,,,1,,1,1,,,1,,,10281
,,,1,,,,1,,,1,1,,,,,,10282
,,,1,,,,,,,,1,,,1,,,10283
,,1,,,,,,1,,,,,,,,,10284
,,,,,,1,1,1,,,1,1,,1,,,10285
,,,,,1,1,1,1,,,1,1,,1,,,10286
,,,,,,,,1,,,1,,,1,,,10287
,,,,,1,1,,,,,1,1,,1,,,10288
,,,,,,,1,,,,1,,,1,,,10289
,,,,,,1,,1,,,1,1,,1,,,10290
,,,,,,1,,1,,1,1,1,,1,,,10291
,1,,,,1,,,,,,1,,,1,,,10292
,,,,,,,1,,,,1,,,1,,,10293
,,,,,,,1,,,,1,,,1,,,10294
,1,,,,,,1,,,,1,,,1,,,10295
,,,,,,,1,,,,,,,,,,10296
,,,,,,1,1,1,,,1,,,,,,10297
,,,,,,,1,,,,1,,,1,,,10298
,,,,,,,1,,,1,1,,,1,,,10299
,,,,,,,,1,,1,,,,,,,10300
,,,,,1,1,,1,,,1,1,,1,,,10301
,,,,,1,,1,1,,,1,,,1,,,10302
,,,,,,,1,,,,1,,,1,,,10303
,,,,,,,1,1,,,1,,,1,,,10304
,,,,,1,,1,,,,1,,,1,,,10305
,,,,,,,1,1,,,1,,,1,,,10306
,,,,,,,1,,,,1,,,1,,,10307
,,,,,1,,1,1,,,1,,,1,,,10308
,,,,,,,1,,,,1,,,,,,10309
,,,,,,,1,1,,,1,,,,,,10310
,,,,,,1,1,,,,1,,,1,,,10311
,,,,,,,1,1,,,1,,,1,,,10312
,,,,,,,1,1,,,1,,,1,,,10313
,1,,,,,,1,,,,1,,,,,,10314
,,,,,,,1,1,,,1,,,,,,10315
,,,,,,1,1,1,,1,1,,,1,,,10316
,,,,,,,1,,,,1,,,1,,,10317
,,,,,1,,1,1,,,1,,,1,,,10318
,1,,,,1,1,,1,,,1,1,,1,,,10319
,,,,,,,,1,,1,1,,,,,,10320
,,1,,,,,,,,,1,1,,1,,,10321
,,,,,1,1,,,,,1,,,,,,10322
,,,,,1,,1,1,,,1,1,,1,,,10323
,,,,,1,1,,1,,,1,1,,1,,,10324
,,,,,,1,,,,,,1,,,,,10325
,,,,,1,,,,,,1,1,,1,,,10326
,,,,,1,1,,,,,1,,,,,,10327
,,,,,1,,,1,,,1,,,,,,10328
,,,,,1,,1,1,,1,1,,,1,,,10329
,,,,,1,1,,,,1,,,,1,,,10330
,,,,,,,1,,,1,1,,,,,,10331
,,,1,,,,,1,,,1,,,1,,,10332
,,,,,1,,1,1,,,1,,,1,,,10333
,1,,,,1,,,,,,1,,,1,,,10334
,,,,,,,,1,,,1,,,1,,,10335
,,,,,1,,,,,,1,,,1,,,10336
,,,,,,,,,,,1,,,1,,,10337
,,,,,1,,,,,,1,1,,1,,,10338
,,,,,,1,1,1,,,1,1,,1,,,10339
,,,,,1,,,,,,,,,,,,10340
,1,,,,,1,1,,,,1,1,,1,,,10341
,,,,,,,1,1,,1,1,1,,,,,10342
,,,,,,,,,,,1,,,1,,,10343
,,,,,,,1,,,1,,1,,1,,,10344
,,,,,1,,,1,,,1,,,,,,10345
,,,,,1,,,,,,1,,,1,,,10346
,,1,,,1,,,1,,,1,,,1,,,10347
,,,,,1,,,1,,,,,,,,,10348
1,,,,,1,1,1,,,1,1,1,,1,,,10349
,,,,,1,,,,,,1,,1,1,,,10350
,,,1,,,,1,,,,1,,,1,,,10351
,,,,,1,,,1,,,1,,,,,,10352
,,,,,1,,,,,,1,1,,1,,,10353
,,,,,,1,1,1,,,1,,,,,,10354
,,,,,,,,1,,,1,,,1,,,10355
,,,,,1,,1,,,,1,,,1,,,10356
,,,,,,,,,,,,,,,,,10357
,,,,,,1,1,1,,,1,,,1,,,10358
,,,,,,1,,1,,,,,,,,,10359
,1,,,,1,,,,,,,,,1,,,10360
,,,,,1,,1,,,,1,1,,1,,,10361
,,,,,1,,,,,,1,,,1,,,10362
,,,,,,,,,,,1,,,,,,10363
,,1,,,1,,1,1,,,1,,,1,,,10364
,,,,,1,1,1,,,,1,,,1,,,10365
,,,,,,1,1,,,,1,1,,1,,,10366
,,,,,,1,,,,,1,,,1,,,10367
,,1,,,,,,,,,1,,,1,,,10368
,,,,,1,,1,1,,,1,1,,1,,,10369
,,,,,1,,,,,,1,,,1,,,10370
,,,,,1,1,1,,,,,,,,,,10371
,,,,,,,1,1,,,,,,1,,,10372
,,,,,,,1,1,,,,,,1,,,10373
,,,,,,1,,1,,,,,,1,,,10374
,,,,,,1,1,1,,,1,,,1,,,10375
,,,,,1,,,1,,,1,,,1,,,10376
,,,,,1,,1,1,,,1,1,,1,,,10377
,,,,,,1,1,1,,,1,,,1,,,10378
,,,,,,,1,,,,1,,,1,,,10379
,,,,,1,,,,,,1,,,1,,,10380
,,,,,1,,,1,,,,,,,,,10381
,,,,,1,,,1,,,1,,,,,,10382
,,,,,,1,,1,,,1,1,,1,,,10383
,,,,,1,1,1,1,,,1,,,1,,,10384
,,,,,,1,,1,,,1,,,,,,10385
,,1,,,1,,,1,,,1,1,,1,,,10386
,,,,,,,1,1,,,1,,,1,,,10387
,,,,,1,,,,,,1,,,,,,10388
,,,,,1,,,1,,,1,1,,1,,,10389
,1,1,,,,,,1,,1,1,1,,1,,,10390
,,,,,,,,,,,1,,,1,,,10391
,,,,,,,,,,,,,,1,,,10392
,,,,,,,,,,,,,,,,,10393
,,1,,,1,,1,,,,1,,,1,,,10394
,,,,,,,,,,,1,,,,,,10395
,,,,,,,1,1,,,1,,,,,,10396
,,,,,,,,,,,1,,,1,,,10397
,1,,,,,1,1,,,,1,1,,1,,,10398
,1,,,,1,1,,,,,1,,,1,,,10399
,1,,,,,1,,,,,,1,,,,,10400
,,,,,,1,,1,,,1,,,1,,,10401
,,,,,,1,1,,,,1,1,,1,,,10402
,,,,,1,1,1,1,,,1,,,1,,,10403
,,,,,1,,,1,,,1,,,,,,10404
,1,,,,1,,1,,,,1,,,1,,,10405
,,,,,1,,,,,,1,,,,,,10406
,,,,,,,,,,,1,,,1,,,10407
,,,,,1,,1,1,,,1,,,1,,,10408
,,,,,1,,,1,,,1,1,,1,,,10409
,1,,,,1,,,,,1,1,,,1,,,10410
,,,,,1,,1,,,,1,,1,1,,,10411
,1,,,,1,,,1,,,1,,,,,,10412
,,,,,1,1,1,1,,,1,1,,1,,,10413
,,1,1,,1,1,,,,,1,1,,1,,,10414
,,,,,,1,,,,,1,1,,1,,,10415
,,,,,1,,,,,,1,,,,,,10416
,,,,,,1,,,,,1,1,,1,,,10417
,,,,,1,1,,1,,,1,,,1,,,10418
,,,,,,1,1,1,,,1,,,1,,,10419
,,1,,,1,1,,,,,1,,,1,,,10420
,,,,,1,1,,1,,,1,,,1,,,10421
,,,,,,,1,1,,,1,,,1,,,10422
,,,,,1,1,,,,,,1,,,,,10423
,,,,,,1,,,,,1,1,,1,,,10424
,,,,,,1,1,,,,1,1,,1,,,10425
,,,,,,1,,,,,1,1,,1,,,10426
,,,,,,1,,,,,,,,,,,10427
,,,,,1,,,,,,1,,,1,,,10428
,,,,,,,,1,,,1,,,1,,,10429
,,,,,1,1,,1,,,1,,,1,,,10430
1,,,,,,,,,,1,1,,,1,,,10431
,,,,,,,,,,,1,,,1,,,10432
,,,,,,,1,,,,1,,,1,,,10433
,,,,,,1,,,,,1,1,,1,,,10434
,,,,,1,,,,,,1,,,,,,10435
,,,,,,,,,,,1,1,,,,,10436
,,,,,,1,,1,,,1,1,,1,,,10437
,,,,,,1,1,1,,,1,1,,1,,,10438
,,,,,1,1,,1,,,1,1,,,,,10439
,1,,,,,1,1,,,,1,1,,1,,,10440
,,,,,,1,,1,,,1,1,,1,,,10441
,,,,,,,1,,,1,1,1,,1,,,10442
,,,,,,1,1,1,,,1,1,,1,,,10443
,,,,,1,,,,,,1,,,,,,10444
,1,,,,1,1,1,,,,1,,,1,,,10445
,,,,,1,,,,,,1,,,1,,,10446
,,,,,1,,,,,,1,1,,1,,,10447
,,,,,,1,,1,,,1,1,,1,,,10448
,,,,,,1,,,,,1,,,,,,10449
,1,,,,,1,1,1,,,1,,,1,,,10450
,,,,,,1,1,1,,,1,,,1,,,10451
,,,,,,1,,,,,1,,,1,,,10452
,,,,,,1,1,,,,1,,,1,,,10453
,1,,,,1,,,,,,1,1,,1,,,10454
,,,,,1,1,,,,,,,,1,,,10455
,,,,,,,1,,,,1,1,,1,,,10456
,,,,,,,,,,,1,,,,,,10457
,,1,,,1,1,1,1,,1,1,,,1,,,10458
,,,,,1,,1,,,1,1,,,,,,10459
,,,,,1,,1,,,,1,,,1,,,10460
,,,,,1,,1,,,,,,,,,,10461
,,,,,,1,1,,,1,1,1,,1,,,10462
,,,,,,1,,1,,1,1,1,,1,,,10463
,,,,,,1,,1,,,1,,,1,,,10464
,,,,,,,,,,,1,,,,,,10465
,,,,,,,1,,,,1,,,1,,,10466
,,,,,,,1,1,,,1,1,,1,,,10467
,,,,,,,1,1,,,1,,,1,,,10468
,,,,,1,,1,,,,1,,,,,,10469
,,,,,,,1,1,,,1,,,1,,,10470
,,,,,,,1,1,,,1,,,1,,,10471
,,,,,1,1,1,1,,,1,,,1,,,10472
,,,,,,,1,,,1,1,1,,1,,,10473
,,,,,,,1,,,,1,1,,1,,,10474
,,,,,,,1,1,,,1,,,,,,10475
,,,,,,,1,1,,,1,,,,,,10476
,,,,,1,1,1,,,,1,,,1,,,10477
,,,,,,,1,1,,,1,,,1,,,10478
,,,,,,,1,,,,1,,,1,,,10479
,,,,,,,1,,,,1,1,,1,,,10480
,,,,,,1,1,1,,,1,,,,,,10481
,,,,,,,1,1,,,1,,,,,,10482
,,,,,1,,1,,,,1,,,,,,10483
,,,,,1,,1,,,1,1,,,,,,10484
,,,,,1,,1,1,,,1,,,1,,,10485
,,,,,,,1,,,,1,,,1,,,10486
,,,,,,,1,,,,1,,,,,,10487
,,,,,,,1,1,,,1,,,1,,,10488
,,,,,,,1,1,,,1,1,,1,,,10489
,,,1,,,,1,1,,,1,,,,,,10490
,,,,,,,1,,,,1,,,1,,,10491
,,,,,,,1,,,,1,,,1,,,10492
,,,,,1,,1,1,,,1,,,1,,,10493
,,,,,,1,1,1,,,1,,,,,,10494
,,,,,1,,1,1,,,1,,,1,,,10495
,,,,,,,1,,,,1,,,,,,10496
,,,,,,,1,1,,,1,,,1,,,10497
,,,,,,,1,,,,1,1,,,,,10498
,,,,,,,1,1,,1,1,,,1,,,10499
,,,,,,1,1,1,,,1,,,1,,,10500
,,,,,,,1,1,,,1,,,1,,,10501
,,,,,,1,1,1,,,1,,,1,,,10502
,,,,,,1,1,,,,1,,,1,,,10503
,,,,,,,1,,,,1,,,,,,10504
,,,,,,,1,,,,1,,,1,,,10505
,,1,,,1,,1,,,,1,,,1,,,10506
,,,1,,,,1,,,,1,,,1,,,10507
,,,,,,,1,1,,,1,,,,,,10508
,,,,,,1,1,1,,,1,,,1,,,10509
,,,,,,,1,,,,1,,,,,,10510
,,,,,1,,1,1,,,,,,,,,10511
,,,,,1,,1,1,,,1,1,,1,,,10512
,,,,,1,1,1,1,,,1,,,1,,,10513
,1,,,,,,1,,,,1,1,,1,,,10514
,,,,,,,,,,,1,1,,1,,,10515
,,,,,1,,,,,,1,,,,,,10516
,,,,,1,1,1,,,,1,,,1,,,10517
,1,,,,1,,1,1,,,1,,,1,,,10518
,,,,,,,,,,,1,1,,1,,,10519
,,,,,,1,,1,,,1,,,,,,10520
,,,,,,,1,,,1,1,1,,1,,,10521
,,,,,,,,,,,1,1,,,,,10522
,,,,,,,1,,,,1,1,,1,,,10523
,,,,,1,1,,,,,1,1,,1,,,10524
,,1,,,,,,,,1,1,1,,,,,10525
,,1,,,,1,,,,,1,,,,,,10526
,1,1,,,1,,,,,,1,,,1,,,10527
,,,,,,,,,,1,1,1,,1,,,10528
,,,,,1,1,,1,,,1,1,,1,,,10529
,,,,,,1,1,1,,1,1,1,,1,,,10530
,,1,,,,1,1,,,1,1,1,,1,,,10531
,,,,,1,1,,,,1,,,,,,,10532
,1,,,,,,1,,,,1,,,1,,,10533
,,,,,,1,1,,,,1,,,,,,10534
,,,,,,1,,,,,1,1,,1,,,10535
,,,,,,1,,,,,1,1,,1,,,10536
,1,,,,,,1,,,,1,,,,,,10537
,,,,,,1,1,,,,1,1,,1,,,10538
,,,,,,1,1,1,,,1,1,,1,,,10539
,,,,,,,,,,1,1,1,,,,,10540
,,,,,,,1,1,,,1,,,1,,,10541
,,,,,,1,,1,,,1,1,,1,,,10542
,,,,,1,,,,,,,,,,,,10543
,1,1,,,1,,,,,,1,,,1,,,10544
,,,,,,,1,1,,,1,,,1,,,10545
,,,,,1,1,1,1,,,1,1,,1,,,10546
,,,,,1,1,,1,,,1,1,,1,,,10547
,,,,,1,1,,1,,,1,1,,1,,,10548
,,,,,,,,,,,1,,,1,,,10549
,,,,,,,,,,,1,,,,,,10550
,,,,,,,1,,,,1,,,1,,,10551
,,1,,,1,,,1,,,1,,,,,,10552
,,,,,,,,,,,1,1,,1,,,10553
,,,,,,1,,,,,1,1,,1,,,10554
,,1,,,,,,1,,,1,,,1,,,10555
,,,,,1,,,,,,1,,,,,,10556
,,,,,1,,,,,,1,,,,,,10557
,,,,,1,,,1,,,1,1,,1,,,10558
,,,,,1,1,1,1,,,1,1,,1,,,10559
,1,,,,1,,1,1,,,1,,,,,,10560
,,,,,,1,1,,,,1,1,,1,,,10561
,1,,,,1,,,1,,,1,,,,,,10562
,,,1,,,,,,,,1,1,,,,,10563
,,,,,,1,,1,,,1,1,,1,,,10564
,,,,,,,,,,,1,1,,,,,10565
,,,,,1,1,,,,,1,,,,,,10566
,,,,,,1,1,1,,1,1,1,,1,,,10567
,,,,,1,,1,,,,,,,1,,,10568
,,,,,1,,1,,,,1,1,,,,,10569
,,,,,,1,,,,,1,1,,1,,,10570
,1,,,,1,,,,,1,,,,1,,,10571
,,,,,,,,,,,1,,,1,,,10572
,,,,,,1,1,1,,,1,1,,1,,,10573
,,1,,,1,,,,,,1,,,1,,,10574
,,,,,,,,1,,,1,,,,,,10575
,,,,,,,1,1,,1,1,,,1,,,10576
,,,,,,,1,,,1,1,,,1,,,10577
,,,,,1,,,,,,1,,,1,,,10578
,,,,,,1,1,,,,1,,,1,,,10579
,,,,,,,,,,,1,,,,,,10580
,,,,,1,,,1,,,1,,,1,,,10581
